,date,daily_return
149,2018-08-06,0.0019044611899331275
150,2018-08-07,0.0045362165285824955
151,2018-08-08,-0.002075663493362476
152,2018-08-09,-0.0031391299244433518
153,2018-08-10,-0.005071795658309014
154,2018-08-13,-0.004431400714661355
155,2018-08-14,0.006011782502132528
156,2018-08-15,-0.0029334030501830723
157,2018-08-16,0.013179404704917035
158,2018-08-17,0.0032061886063789505
159,2018-08-20,0.002487275159766175
160,2018-08-21,0.0021275120017492685
161,2018-08-22,-0.0026837979533750065
162,2018-08-23,-0.0015903643565549216
163,2018-08-24,0.004326343244392944
164,2018-08-27,0.008732814720656276
165,2018-08-28,0.0010904157107003809
166,2018-08-29,0.0021897656350670144
167,2018-08-30,-0.00554523242918044
168,2018-08-31,-0.0004251439282178475
169,2018-09-04,-0.003099883926276501
